"","Run","assay_type","AvgSpotLen","BioSample","Experiment","sample_name","tissue","Strain","title","description"
"SRR12892746","SRR12892746","RNA-Seq",51,"SAMN16546384","SRX9357641","GSM4856100","Kidney glomerulus","C57BL/6J","811s_B20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892747","SRR12892747","RNA-Seq",51,"SAMN16546379","SRX9357642","GSM4856101","Kidney glomerulus","C57BL/6J","811s_G19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892748","SRR12892748","RNA-Seq",51,"SAMN16546383","SRX9357643","GSM4856102","Kidney glomerulus","C57BL/6J","812s_N16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892749","SRR12892749","RNA-Seq",51,"SAMN16546382","SRX9357644","GSM4856103","Kidney glomerulus","C57BL/6J","682s_K19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892750","SRR12892750","RNA-Seq",51,"SAMN16546381","SRX9357741","GSM4856104","Kidney glomerulus","C57BL/6J","812s_H6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892751","SRR12892751","RNA-Seq",51,"SAMN16546380","SRX9357742","GSM4856105","Kidney glomerulus","C57BL/6J","294s_K1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892752","SRR12892752","RNA-Seq",51,"SAMN16546378","SRX9357743","GSM4856106","Kidney glomerulus","C57BL/6J","299s_D20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892753","SRR12892753","RNA-Seq",51,"SAMN16546377","SRX9357744","GSM4856107","Kidney glomerulus","C57BL/6J","682s_F19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892754","SRR12892754","RNA-Seq",51,"SAMN16546376","SRX9357745","GSM4856108","Kidney glomerulus","C57BL/6J","121s_N23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892755","SRR12892755","RNA-Seq",51,"SAMN16546375","SRX9357746","GSM4856109","Kidney glomerulus","C57BL/6J","812s_I9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892756","SRR12892756","RNA-Seq",51,"SAMN16546374","SRX9357747","GSM4856110","Kidney glomerulus","C57BL/6J","812s_J21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892757","SRR12892757","RNA-Seq",51,"SAMN16546373","SRX9357748","GSM4856111","Kidney glomerulus","C57BL/6J","294s_P18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892758","SRR12892758","RNA-Seq",51,"SAMN16546372","SRX9357749","GSM4856112","Kidney glomerulus","C57BL/6J","298s_G16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892759","SRR12892759","RNA-Seq",51,"SAMN16546371","SRX9357750","GSM4856113","Kidney glomerulus","C57BL/6J","294s_P20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892760","SRR12892760","RNA-Seq",51,"SAMN16546370","SRX9357751","GSM4856114","Kidney glomerulus","C57BL/6J","812s_E9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892761","SRR12892761","RNA-Seq",51,"SAMN16546369","SRX9357752","GSM4856115","Kidney glomerulus","C57BL/6J","298s_K5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892762","SRR12892762","RNA-Seq",51,"SAMN16546368","SRX9357753","GSM4856116","Kidney glomerulus","C57BL/6J","813s_O8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892763","SRR12892763","RNA-Seq",51,"SAMN16546367","SRX9357754","GSM4856117","Kidney glomerulus","C57BL/6J","299s_H9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892764","SRR12892764","RNA-Seq",51,"SAMN16546366","SRX9357755","GSM4856118","Kidney glomerulus","C57BL/6J","196s_M23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892765","SRR12892765","RNA-Seq",51,"SAMN16546474","SRX9357756","GSM4856119","Kidney glomerulus","C57BL/6J","294s_E4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892766","SRR12892766","RNA-Seq",51,"SAMN16546473","SRX9357933","GSM4856120","Kidney glomerulus","C57BL/6J","298s_N7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892767","SRR12892767","RNA-Seq",51,"SAMN16546472","SRX9357934","GSM4856121","Kidney glomerulus","C57BL/6J","299s_B4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892768","SRR12892768","RNA-Seq",51,"SAMN16546471","SRX9357935","GSM4856122","Kidney glomerulus","C57BL/6J","811s_M9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892769","SRR12892769","RNA-Seq",51,"SAMN16546470","SRX9357936","GSM4856123","Kidney glomerulus","C57BL/6J","812s_J15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892770","SRR12892770","RNA-Seq",51,"SAMN16546469","SRX9357937","GSM4856124","Kidney glomerulus","C57BL/6J","811s_C5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892771","SRR12892771","RNA-Seq",51,"SAMN16546468","SRX9357938","GSM4856125","Kidney glomerulus","C57BL/6J","814s_D10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892772","SRR12892772","RNA-Seq",51,"SAMN16546467","SRX9357939","GSM4856126","Kidney glomerulus","C57BL/6J","812s_K18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892773","SRR12892773","RNA-Seq",51,"SAMN16546466","SRX9357940","GSM4856127","Kidney glomerulus","C57BL/6J","298s_C13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892774","SRR12892774","RNA-Seq",51,"SAMN16546465","SRX9357941","GSM4856128","Kidney glomerulus","C57BL/6J","298s_D20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892775","SRR12892775","RNA-Seq",51,"SAMN16546464","SRX9357942","GSM4856129","Kidney glomerulus","C57BL/6J","811s_K12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892776","SRR12892776","RNA-Seq",51,"SAMN16546463","SRX9357943","GSM4856130","Kidney glomerulus","C57BL/6J","298s_F8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892777","SRR12892777","RNA-Seq",51,"SAMN16546462","SRX9357944","GSM4856131","Kidney glomerulus","C57BL/6J","196s_L10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892778","SRR12892778","RNA-Seq",51,"SAMN16546461","SRX9357945","GSM4856132","Kidney glomerulus","C57BL/6J","682s_E10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892779","SRR12892779","RNA-Seq",51,"SAMN16546460","SRX9357946","GSM4856133","Kidney glomerulus","C57BL/6J","294s_K3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892780","SRR12892780","RNA-Seq",51,"SAMN16546459","SRX9357947","GSM4856134","Kidney glomerulus","C57BL/6J","298s_A23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892781","SRR12892781","RNA-Seq",51,"SAMN16546458","SRX9357948","GSM4856135","Kidney glomerulus","C57BL/6J","196s_N12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892782","SRR12892782","RNA-Seq",51,"SAMN16546457","SRX9358132","GSM4856136","Kidney glomerulus","C57BL/6J","196s_L9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892783","SRR12892783","RNA-Seq",51,"SAMN16546456","SRX9358133","GSM4856137","Kidney glomerulus","C57BL/6J","813s_G15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892784","SRR12892784","RNA-Seq",51,"SAMN16546455","SRX9358134","GSM4856138","Kidney glomerulus","C57BL/6J","812s_E14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892785","SRR12892785","RNA-Seq",51,"SAMN16546454","SRX9358135","GSM4856139","Kidney glomerulus","C57BL/6J","811s_J12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892786","SRR12892786","RNA-Seq",51,"SAMN16546453","SRX9358136","GSM4856140","Kidney glomerulus","C57BL/6J","812s_D2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892787","SRR12892787","RNA-Seq",51,"SAMN16546452","SRX9358137","GSM4856141","Kidney glomerulus","C57BL/6J","812s_H9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892788","SRR12892788","RNA-Seq",51,"SAMN16546451","SRX9358138","GSM4856142","Kidney glomerulus","C57BL/6J","812s_K10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892789","SRR12892789","RNA-Seq",51,"SAMN16546450","SRX9358139","GSM4856143","Kidney glomerulus","C57BL/6J","682s_A9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892790","SRR12892790","RNA-Seq",51,"SAMN16546449","SRX9358140","GSM4856144","Kidney glomerulus","C57BL/6J","294s_J12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892791","SRR12892791","RNA-Seq",51,"SAMN16546448","SRX9358141","GSM4856145","Kidney glomerulus","C57BL/6J","682s_O17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892792","SRR12892792","RNA-Seq",51,"SAMN16546277","SRX9358142","GSM4856146","Kidney glomerulus","C57BL/6J","121s_C12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892793","SRR12892793","RNA-Seq",51,"SAMN16546276","SRX9358143","GSM4856147","Kidney glomerulus","C57BL/6J","682s_P4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892794","SRR12892794","RNA-Seq",51,"SAMN16546280","SRX9358144","GSM4856148","Kidney glomerulus","C57BL/6J","812s_E20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892795","SRR12892795","RNA-Seq",51,"SAMN16546279","SRX9358145","GSM4856149","Kidney glomerulus","C57BL/6J","299s_L21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892796","SRR12892796","RNA-Seq",51,"SAMN16546278","SRX9358146","GSM4856150","Kidney glomerulus","C57BL/6J","682s_P17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892797","SRR12892797","RNA-Seq",51,"SAMN16546275","SRX9358147","GSM4856151","Kidney glomerulus","C57BL/6J","811s_P10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892798","SRR12892798","RNA-Seq",51,"SAMN16546274","SRX9357485","GSM4856152","Kidney glomerulus","C57BL/6J","294s_P21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892799","SRR12892799","RNA-Seq",51,"SAMN16546273","SRX9357486","GSM4856153","Kidney glomerulus","C57BL/6J","813s_D6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892800","SRR12892800","RNA-Seq",51,"SAMN16546272","SRX9357487","GSM4856154","Kidney glomerulus","C57BL/6J","294s_A9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892801","SRR12892801","RNA-Seq",51,"SAMN16546271","SRX9357488","GSM4856155","Kidney glomerulus","C57BL/6J","682s_G16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892802","SRR12892802","RNA-Seq",51,"SAMN16546270","SRX9357489","GSM4856156","Kidney glomerulus","C57BL/6J","121s_M3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892803","SRR12892803","RNA-Seq",51,"SAMN16546269","SRX9357490","GSM4856157","Kidney glomerulus","C57BL/6J","811s_D9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892804","SRR12892804","RNA-Seq",51,"SAMN16546268","SRX9357491","GSM4856158","Kidney glomerulus","C57BL/6J","813s_K8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892805","SRR12892805","RNA-Seq",51,"SAMN16546267","SRX9357492","GSM4856159","Kidney glomerulus","C57BL/6J","555s_O1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892806","SRR12892806","RNA-Seq",51,"SAMN16546266","SRX9357493","GSM4856160","Kidney glomerulus","C57BL/6J","121s_D23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892807","SRR12892807","RNA-Seq",51,"SAMN16546265","SRX9357494","GSM4856161","Kidney glomerulus","C57BL/6J","813s_D19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892808","SRR12892808","RNA-Seq",51,"SAMN16546264","SRX9357495","GSM4856162","Kidney glomerulus","C57BL/6J","299s_F5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892809","SRR12892809","RNA-Seq",51,"SAMN16546263","SRX9357496","GSM4856163","Kidney glomerulus","C57BL/6J","813s_E19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892810","SRR12892810","RNA-Seq",51,"SAMN16546262","SRX9357497","GSM4856164","Kidney glomerulus","C57BL/6J","294s_H3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892811","SRR12892811","RNA-Seq",51,"SAMN16546261","SRX9357498","GSM4856165","Kidney glomerulus","C57BL/6J","682s_P10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892812","SRR12892812","RNA-Seq",51,"SAMN16546260","SRX9357499","GSM4856166","Kidney glomerulus","C57BL/6J","682s_M12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892813","SRR12892813","RNA-Seq",51,"SAMN16546259","SRX9357500","GSM4856167","Kidney glomerulus","C57BL/6J","811s_O4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892814","SRR12892814","RNA-Seq",51,"SAMN16546365","SRX9357645","GSM4856168","Kidney glomerulus","C57BL/6J","555s_H8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892815","SRR12892815","RNA-Seq",51,"SAMN16546364","SRX9357646","GSM4856169","Kidney glomerulus","C57BL/6J","682s_A3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892816","SRR12892816","RNA-Seq",51,"SAMN16546363","SRX9357647","GSM4856170","Kidney glomerulus","C57BL/6J","294s_C23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892817","SRR12892817","RNA-Seq",51,"SAMN16546362","SRX9357648","GSM4856171","Kidney glomerulus","C57BL/6J","294s_H16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892818","SRR12892818","RNA-Seq",51,"SAMN16546361","SRX9357649","GSM4856172","Kidney glomerulus","C57BL/6J","813s_A10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892819","SRR12892819","RNA-Seq",51,"SAMN16546233","SRX9357650","GSM4856173","Kidney glomerulus","C57BL/6J","682s_I10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892820","SRR12892820","RNA-Seq",51,"SAMN16546232","SRX9357651","GSM4856174","Kidney glomerulus","C57BL/6J","299s_B9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892821","SRR12892821","RNA-Seq",51,"SAMN16546231","SRX9357652","GSM4856175","Kidney glomerulus","C57BL/6J","299s_F3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892822","SRR12892822","RNA-Seq",51,"SAMN16546230","SRX9357653","GSM4856176","Kidney glomerulus","C57BL/6J","812s_B24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892823","SRR12892823","RNA-Seq",51,"SAMN16546229","SRX9357654","GSM4856177","Kidney glomerulus","C57BL/6J","555s_C4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892824","SRR12892824","RNA-Seq",51,"SAMN16546360","SRX9357655","GSM4856178","Kidney glomerulus","C57BL/6J","299s_G15","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892825","SRR12892825","RNA-Seq",51,"SAMN16546359","SRX9357656","GSM4856179","Kidney glomerulus","C57BL/6J","682s_H19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892826","SRR12892826","RNA-Seq",51,"SAMN16546358","SRX9357657","GSM4856180","Kidney glomerulus","C57BL/6J","812s_N21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892827","SRR12892827","RNA-Seq",51,"SAMN16546228","SRX9357658","GSM4856181","Kidney glomerulus","C57BL/6J","294s_B16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892828","SRR12892828","RNA-Seq",51,"SAMN16546227","SRX9357659","GSM4856182","Kidney glomerulus","C57BL/6J","814s_A8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892829","SRR12892829","RNA-Seq",51,"SAMN16546226","SRX9357660","GSM4856183","Kidney glomerulus","C57BL/6J","811s_N17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892830","SRR12892830","RNA-Seq",51,"SAMN16546135","SRX9357757","GSM4856184","Kidney glomerulus","C57BL/6J","812s_A5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892831","SRR12892831","RNA-Seq",51,"SAMN16546134","SRX9357758","GSM4856185","Kidney glomerulus","C57BL/6J","813s_H7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892832","SRR12892832","RNA-Seq",51,"SAMN16546133","SRX9357759","GSM4856186","Kidney glomerulus","C57BL/6J","811s_J5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892833","SRR12892833","RNA-Seq",51,"SAMN16546132","SRX9357760","GSM4856187","Kidney glomerulus","C57BL/6J","813s_L21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892834","SRR12892834","RNA-Seq",51,"SAMN16546131","SRX9357761","GSM4856188","Kidney glomerulus","C57BL/6J","811s_O10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892835","SRR12892835","RNA-Seq",51,"SAMN16546130","SRX9357762","GSM4856189","Kidney glomerulus","C57BL/6J","682s_K20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892836","SRR12892836","RNA-Seq",51,"SAMN16546129","SRX9357763","GSM4856190","Kidney glomerulus","C57BL/6J","812s_G3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892837","SRR12892837","RNA-Seq",51,"SAMN16546128","SRX9357764","GSM4856191","Kidney glomerulus","C57BL/6J","298s_A6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892838","SRR12892838","RNA-Seq",51,"SAMN16546127","SRX9357765","GSM4856192","Kidney glomerulus","C57BL/6J","682s_K14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892839","SRR12892839","RNA-Seq",51,"SAMN16546126","SRX9357766","GSM4856193","Kidney glomerulus","C57BL/6J","294s_B3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892840","SRR12892840","RNA-Seq",51,"SAMN16546125","SRX9357767","GSM4856194","Kidney glomerulus","C57BL/6J","555s_L10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892841","SRR12892841","RNA-Seq",51,"SAMN16546124","SRX9357768","GSM4856195","Kidney glomerulus","C57BL/6J","298s_P6","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892842","SRR12892842","RNA-Seq",51,"SAMN16546123","SRX9357769","GSM4856196","Kidney glomerulus","C57BL/6J","555s_P12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892843","SRR12892843","RNA-Seq",51,"SAMN16546122","SRX9357770","GSM4856197","Kidney glomerulus","C57BL/6J","298s_M8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892844","SRR12892844","RNA-Seq",51,"SAMN16546121","SRX9357771","GSM4856198","Kidney glomerulus","C57BL/6J","121s_H1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892845","SRR12892845","RNA-Seq",51,"SAMN16546120","SRX9357772","GSM4856199","Kidney glomerulus","C57BL/6J","682s_H17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892846","SRR12892846","RNA-Seq",51,"SAMN16546119","SRX9357837","GSM4856200","Kidney glomerulus","C57BL/6J","812s_M5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892847","SRR12892847","RNA-Seq",51,"SAMN16546118","SRX9357838","GSM4856201","Kidney glomerulus","C57BL/6J","813s_E16","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892848","SRR12892848","RNA-Seq",51,"SAMN16546117","SRX9357839","GSM4856202","Kidney glomerulus","C57BL/6J","813s_N9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892849","SRR12892849","RNA-Seq",51,"SAMN16546115","SRX9357840","GSM4856203","Kidney glomerulus","C57BL/6J","294s_B23","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892850","SRR12892850","RNA-Seq",51,"SAMN16546114","SRX9357841","GSM4856204","Kidney glomerulus","C57BL/6J","196s_J18","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892851","SRR12892851","RNA-Seq",51,"SAMN16546310","SRX9357842","GSM4856205","Kidney glomerulus","C57BL/6J","814s_D7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892852","SRR12892852","RNA-Seq",51,"SAMN16546309","SRX9357843","GSM4856206","Kidney glomerulus","C57BL/6J","812s_O2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892853","SRR12892853","RNA-Seq",51,"SAMN16546308","SRX9357844","GSM4856207","Kidney glomerulus","C57BL/6J","811s_K20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892854","SRR12892854","RNA-Seq",51,"SAMN16546116","SRX9357845","GSM4856208","Kidney glomerulus","C57BL/6J","555s_A3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892855","SRR12892855","RNA-Seq",51,"SAMN16546307","SRX9357846","GSM4856209","Kidney glomerulus","C57BL/6J","298s_A22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892856","SRR12892856","RNA-Seq",51,"SAMN16546306","SRX9357847","GSM4856210","Kidney glomerulus","C57BL/6J","813s_B20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892857","SRR12892857","RNA-Seq",51,"SAMN16546305","SRX9357848","GSM4856211","Kidney glomerulus","C57BL/6J","813s_E7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892858","SRR12892858","RNA-Seq",51,"SAMN16546304","SRX9357849","GSM4856212","Kidney glomerulus","C57BL/6J","812s_A19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892859","SRR12892859","RNA-Seq",51,"SAMN16546303","SRX9357850","GSM4856213","Kidney glomerulus","C57BL/6J","813s_B19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892860","SRR12892860","RNA-Seq",51,"SAMN16546302","SRX9357851","GSM4856214","Kidney glomerulus","C57BL/6J","812s_C11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892861","SRR12892861","RNA-Seq",51,"SAMN16546301","SRX9357852","GSM4856215","Kidney glomerulus","C57BL/6J","682s_C7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892862","SRR12892862","RNA-Seq",51,"SAMN16546300","SRX9358020","GSM4856216","Kidney glomerulus","C57BL/6J","121s_I4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892863","SRR12892863","RNA-Seq",51,"SAMN16546299","SRX9358021","GSM4856217","Kidney glomerulus","C57BL/6J","299s_N14","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892864","SRR12892864","RNA-Seq",51,"SAMN16546298","SRX9358022","GSM4856218","Kidney glomerulus","C57BL/6J","811s_L19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892865","SRR12892865","RNA-Seq",51,"SAMN16546297","SRX9358023","GSM4856219","Kidney glomerulus","C57BL/6J","294s_I2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892866","SRR12892866","RNA-Seq",51,"SAMN16546296","SRX9358024","GSM4856220","Kidney glomerulus","C57BL/6J","121s_C7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892867","SRR12892867","RNA-Seq",51,"SAMN16546295","SRX9358025","GSM4856221","Kidney glomerulus","C57BL/6J","812s_F4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892868","SRR12892868","RNA-Seq",51,"SAMN16546294","SRX9358026","GSM4856222","Kidney glomerulus","C57BL/6J","121s_I7","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892869","SRR12892869","RNA-Seq",51,"SAMN16546293","SRX9358027","GSM4856223","Kidney glomerulus","C57BL/6J","298s_G8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892870","SRR12892870","RNA-Seq",51,"SAMN16546292","SRX9358028","GSM4856224","Kidney glomerulus","C57BL/6J","294s_A24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892871","SRR12892871","RNA-Seq",51,"SAMN16546291","SRX9358029","GSM4856225","Kidney glomerulus","C57BL/6J","812s_P22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892872","SRR12892872","RNA-Seq",51,"SAMN16546290","SRX9358030","GSM4856226","Kidney glomerulus","C57BL/6J","299s_J17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892873","SRR12892873","RNA-Seq",51,"SAMN16546289","SRX9358031","GSM4856227","Kidney glomerulus","C57BL/6J","811s_K10","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892874","SRR12892874","RNA-Seq",51,"SAMN16546288","SRX9358032","GSM4856228","Kidney glomerulus","C57BL/6J","813s_L1","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892875","SRR12892875","RNA-Seq",51,"SAMN16546287","SRX9358033","GSM4856229","Kidney glomerulus","C57BL/6J","812s_O4","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892876","SRR12892876","RNA-Seq",51,"SAMN16546286","SRX9358034","GSM4856230","Kidney glomerulus","C57BL/6J","294s_K19","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892877","SRR12892877","RNA-Seq",51,"SAMN16546285","SRX9358035","GSM4856231","Kidney glomerulus","C57BL/6J","121s_I11","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892878","SRR12892878","RNA-Seq",51,"SAMN16546284","SRX9358148","GSM4856232","Kidney glomerulus","C57BL/6J","196s_O21","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892879","SRR12892879","RNA-Seq",51,"SAMN16546283","SRX9358149","GSM4856233","Kidney glomerulus","C57BL/6J","813s_P12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892880","SRR12892880","RNA-Seq",51,"SAMN16546282","SRX9358150","GSM4856234","Kidney glomerulus","C57BL/6J","298s_H3","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892881","SRR12892881","RNA-Seq",51,"SAMN16546281","SRX9358151","GSM4856235","Kidney glomerulus","C57BL/6J","294s_C13","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892882","SRR12892882","RNA-Seq",51,"SAMN16546037","SRX9358152","GSM4856236","Kidney glomerulus","C57BL/6J","812s_J17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892883","SRR12892883","RNA-Seq",51,"SAMN16546036","SRX9358153","GSM4856237","Kidney glomerulus","C57BL/6J","294s_O22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892884","SRR12892884","RNA-Seq",51,"SAMN16546035","SRX9358154","GSM4856238","Kidney glomerulus","C57BL/6J","812s_H5","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892885","SRR12892885","RNA-Seq",51,"SAMN16546034","SRX9358155","GSM4856239","Kidney glomerulus","C57BL/6J","813s_G17","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892886","SRR12892886","RNA-Seq",51,"SAMN16546033","SRX9358156","GSM4856240","Kidney glomerulus","C57BL/6J","813s_D2","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892887","SRR12892887","RNA-Seq",51,"SAMN16546032","SRX9358157","GSM4856241","Kidney glomerulus","C57BL/6J","812s_F17","mouse_glom_single_cell_unbiased_rpkms.txt"
