"","Run","assay_type","AvgSpotLen","BioSample","Experiment","sample_name","tissue","Strain","title","description"
"SRR12892440","SRR12892440","RNA-Seq",51,"SAMN16543877","SRX9357902","GSM4856537","Kidney glomerulus","C57BL/6J","682s_O20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892441","SRR12892441","RNA-Seq",51,"SAMN16543876","SRX9357903","GSM4856538","Kidney glomerulus","C57BL/6J","298s_B24","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892442","SRR12892442","RNA-Seq",51,"SAMN16543875","SRX9357904","GSM4856539","Kidney glomerulus","C57BL/6J","813s_K20","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892443","SRR12892443","RNA-Seq",51,"SAMN16543874","SRX9357905","GSM4856540","Kidney glomerulus","C57BL/6J","812s_E8","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892444","SRR12892444","RNA-Seq",51,"SAMN16543873","SRX9357906","GSM4856541","Kidney glomerulus","C57BL/6J","298s_F12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892445","SRR12892445","RNA-Seq",51,"SAMN16543872","SRX9357907","GSM4856542","Kidney glomerulus","C57BL/6J","298s_A9","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892446","SRR12892446","RNA-Seq",51,"SAMN16543871","SRX9357908","GSM4856543","Kidney glomerulus","C57BL/6J","813s_K22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892447","SRR12892447","RNA-Seq",51,"SAMN16543870","SRX9357909","GSM4856544","Kidney glomerulus","C57BL/6J","294s_B12","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892448","SRR12892448","RNA-Seq",51,"SAMN16543869","SRX9357910","GSM4856545","Kidney glomerulus","C57BL/6J","121s_I22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892449","SRR12892449","RNA-Seq",51,"SAMN16543868","SRX9357911","GSM4856546","Kidney glomerulus","C57BL/6J","812s_O22","mouse_glom_single_cell_unbiased_rpkms.txt"
"SRR12892450","SRR12892450","RNA-Seq",51,"SAMN16543867","SRX9357912","GSM4856547","Kidney glomerulus","C57BL/6J","298s_P1","mouse_glom_single_cell_unbiased_rpkms.txt"
